book_id,goodreads_book_id,best_book_id,work_id,books_count,isbn13,original_publication_year,average_rating,ratings_count,work_ratings_count,work_text_reviews_count,ratings_1,ratings_2,ratings_3,ratings_4,ratings_5,Cluster
29,18135,18135,3349450,1937,9780743477120.0,1595.0,3.73,1628519,1672889,14778,57980,153179,452673,519822,489235,2
30,8442457,19288043,13306276,196,9780297859380.0,2012.0,4.03,512475,1626519,121614,38874,80807,280331,616031,610476,2
31,4667024,4667024,4717423,183,9780399155340.0,2009.0,4.45,1531753,1603545,78204,10235,25117,134887,490754,942552,2
32,890,890,40283,373,9780142000670.0,1937.0,3.84,1467496,1518741,24642,46630,110856,355169,532291,473795,2
33,930,929,1558965,220,9780739326220.0,1997.0,4.08,1300209,1418172,25605,23500,59033,258700,517157,559782,2
34,10818853,10818853,15732562,169,9781612130290.0,2011.0,3.67,1338493,1436818,75437,165455,152293,252185,294976,571909,2
35,865,865,4835472,458,9780061122420.0,1988.0,3.82,1299566,1403995,55781,74846,123614,289143,412180,504212,2
36,3636,3636,2543234,192,9780385732550.0,1993.0,4.12,1296825,1345445,54084,26497,59652,225326,448691,585279,2
37,100915,100915,4790821,474,9780060764890.0,1950.0,4.19,1531800,1584884,15186,19309,55542,262038,513366,734629,2
38,14050,18619684,2153746,167,9780965818670.0,2003.0,3.95,746287,1308667,43382,44339,85429,257805,427210,493884,2
39,13496,13496,1466917,101,9780553588480.0,1996.0,4.45,1319204,1442220,46205,19988,28983,114092,404583,874574,2
40,19501,19501,3352398,185,9780143038410.0,2006.0,3.51,1181647,1206597,49714,100373,149549,310212,332191,314272,2
41,28187,28187,3346751,159,9780786838650.0,2005.0,4.23,1366265,1411114,46006,18303,48294,219638,435514,689365,2
42,1934,1934,3244642,1707,9780451529300.0,1868.0,4.04,1257121,1314293,17090,31645,70011,250794,426280,535563,2
43,10210,10210,2977639,2568,9780142437210.0,1847.0,4.1,1198557,1286135,31212,35132,64274,212294,400214,574221,2
44,15931,15931,1498135,190,9780553816720.0,1996.0,4.06,1053403,1076749,17279,41395,63432,176469,298259,497194,2
45,4214,4214,1392700,264,9780770430080.0,2001.0,3.88,1003228,1077431,42962,39768,74331,218702,384164,360466,2
46,43641,43641,3441236,128,9781565125600.0,2006.0,4.07,1068146,1108839,55732,16705,49832,200154,417328,424820,2
47,19063,19063,878368,251,9780375831000.0,2005.0,4.36,1159741,1287798,93611,17892,35360,135272,377218,722056,2
48,4381,4381,1272463,507,9780307347980.0,1953.0,3.97,570498,1176240,30694,28366,64289,238242,426292,419051,2
49,49041,49041,3203964,194,9780316160190.0,2006.0,3.52,1149630,1199000,44020,102837,160660,294207,290612,350684,2
50,30119,30119,30518,45,9780060513030.0,1974.0,4.29,1016888,1023781,9234,16590,30792,139024,293222,544153,2
51,256683,256683,2267189,178,9781416914280.0,2007.0,4.12,1154031,1241799,51589,34122,65349,203466,356048,582814,2
52,428263,428263,2675454,185,9780316160210.0,2007.0,3.69,1134511,1176642,35216,83094,124293,260763,309358,399134,2
53,113436,113436,3178011,217,9780375826700.0,2002.0,3.86,1104021,1125231,18280,50563,88536,240157,337943,408032,2
54,11,386162,3078186,257,9780345391800.0,1979.0,4.2,936782,1006479,20345,21764,41962,145173,299579,498001,2
55,5129,5129,3204877,515,9780060929880.0,1932.0,3.97,1022601,1079135,20095,26367,60328,219895,389379,383166,2
56,1162543,1162543,2960529,183,9780316067930.0,2008.0,3.7,1070245,1107709,44550,100994,114893,213402,267706,410714,2
57,37435,37435,3275013,125,9780142001740.0,2001.0,4.01,916189,937393,26522,17500,45455,185631,347540,341267,2
58,2956,2956,1835605,2277,9780142437180.0,1884.0,3.8,953758,1001491,12448,28467,76630,255722,344356,296316,2
59,24178,24178,987048,180,9780064410940.0,1952.0,4.15,1064521,1084842,13044,18450,41124,191415,346090,487763,2
60,1618,1618,4259809,183,9781400032720.0,2003.0,3.85,867553,915790,35796,21049,58117,218218,355925,262481,2
61,22557272,22557272,41107568,14,9781594633670.0,2015.0,3.88,1008778,1226485,93600,27773,73897,273817,488447,362551,2
62,119322,119322,1536771,287,9780679879240.0,1995.0,3.94,953970,994914,14915,38382,64591,198764,313147,380030,2
63,6185,6185,1565818,2498,9780393978900.0,1847.0,3.82,899195,1001135,26157,46469,84084,215320,309180,346082,2
64,10917,10917,1639903,125,9780743454540.0,2004.0,4.06,863879,887880,30719,17547,42763,162573,314003,350994,2
65,4981,4981,1683562,241,9780385333850.0,1969.0,4.06,846488,891762,19646,24964,45518,152442,300948,367890,2
66,18405,18405,3358283,409,9780446675540.0,1936.0,4.28,873981,897303,16050,19996,33136,116160,234290,493721,2
67,128029,128029,3271379,197,9781594489500.0,2007.0,4.34,818742,866065,43645,6509,18015,99030,295817,446694,2
68,22628,22628,2236198,128,9780671027350.0,1999.0,4.21,888806,954905,47116,14286,38658,143440,297501,461020,2
69,11735983,11735983,15524542,164,9780007442910.0,2012.0,4.07,836362,947338,55873,10641,44620,182131,339977,369969,2
70,375802,375802,2422333,224,9780812550700.0,1985.0,4.3,813439,873417,38054,15330,27612,103439,264207,462829,2
71,18490,18490,4836639,2618,9780141439470.0,1818.0,3.75,808589,883563,19993,29366,74142,231022,300495,248538,2
72,11588,11588,849585,289,9780450040180.0,1977.0,4.17,791850,830881,14936,18487,28981,123862,277393,382158,0
73,1656001,1656001,3328799,161,9780316068050.0,2008.0,3.84,749780,777560,39778,44215,62501,154906,227180,288758,2
74,99561,99561,919292,187,9780142402510.0,2005.0,4.09,783470,831285,47128,16940,44232,147324,262932,359857,2
75,227443,227443,3185154,193,9780140280100.0,1996.0,3.75,736498,754498,8157,28973,59309,198555,254836,212825,2
76,14935,14935,2809709,1969,9780141439660.0,1811.0,4.06,738894,779382,11526,18430,34699,141987,272512,311754,2
77,38709,38709,1679789,138,9780439244190.0,1998.0,3.93,747445,764637,15832,15495,43786,176946,269153,259257,0
78,5139,5139,38765,129,9780307275550.0,2003.0,3.7,665930,679845,8024,24231,58323,192366,226675,178250,0
79,1381,1381,3356006,1703,9780143039950.0,-720.0,3.73,670326,710757,8101,29703,65629,183082,224120,208223,2
80,157993,157993,2180358,1708,9780156012200.0,1946.0,4.28,738757,859286,24537,15039,32866,114714,228440,468227,2
81,7445,7445,2944133,92,9780743247540.0,2005.0,4.24,621099,637866,40777,7901,18922,85191,227750,298102,0
82,1845,1845,3284484,108,9780385486800.0,1996.0,3.94,647684,665377,17299,19229,35567,135199,248287,227095,0
83,1953,1953,2956372,525,9780141439600.0,1859.0,3.81,637412,677713,13093,28904,55555,153305,216378,223571,0
84,7677,6424171,3376836,176,9780307348140.0,1990.0,3.96,447833,650483,8143,15736,34222,138327,231583,230615,0
85,370493,370493,30530,81,9780060256650.0,1964.0,4.38,702332,708287,14368,15345,20408,76071,167542,428921,0
86,32542,32542,1804929,158,9780385338610.0,1989.0,4.03,597775,608824,4239,12106,25938,122675,218617,229488,0
87,1617,1617,265616,109,9780374500020.0,1958.0,4.3,691231,707879,22001,7761,18539,90575,230227,360777,0
88,6442769,6442769,3364505,178,9780142414930.0,2008.0,3.88,461311,655271,42717,14105,47183,154479,223895,215609,0
89,21787,21787,992628,129,9780345418260.0,1973.0,4.25,628637,658042,15630,12883,21641,89236,196047,338235,0
90,231804,231804,1426690,156,9780140385720.0,1967.0,4.06,659248,680437,22662,10178,34346,134244,227250,274419,0
91,6186357,6186357,6366642,147,9780385737940.0,2009.0,4.02,719925,777956,48942,15291,43370,150488,266698,302109,2
92,1202,1202,5397,124,9780061234000.0,2005.0,3.93,524191,549301,13668,14586,26538,115789,216316,176072,0
93,2998,2998,3186437,1350,9780517189600.0,1911.0,4.12,639357,692249,13054,8005,25207,129646,243821,285570,0
94,320,320,3295655,555,9780060531040.0,1967.0,4.04,490565,575667,21671,27340,37646,87675,155809,267197,0
95,5297,5297,1858012,2303,9780375751520.0,1891.0,4.06,590014,674551,19647,9825,30735,129420,246892,257679,0
96,13536860,13536860,18034963,133,9780345803500.0,2012.0,3.88,387290,610116,25287,39079,55691,109963,140304,265079,1
97,17245,17245,3165724,2207,9780393970130.0,1897.0,3.98,618973,689739,17263,11756,36719,151396,246043,243825,0
98,5060378,5060378,6976108,209,9780307269980.0,2006.0,4.22,563994,649253,31423,4623,15781,91021,258236,279592,0
99,11857408,11857408,16813814,147,9781612130580.0,2011.0,3.87,552059,623340,28052,37245,58935,114203,150906,262051,1
100,7244,7244,810663,39,9780060786500.0,1998.0,4.02,546502,562787,19941,21699,33702,92590,175725,239071,0
101,4137,4137,1030767,59,9780349113910.0,2000.0,3.97,495736,514276,14982,19718,29034,93427,178021,194076,0
102,19543,19543,3020535,110,9780099408390.0,1963.0,4.22,620618,636061,9102,15392,27532,93700,167043,332394,0
103,7126,7126,391568,1310,9780140449270.0,1844.0,4.21,555822,601220,15925,10381,22482,89980,183142,295235,0
104,6288,6288,3355573,181,9780307265430.0,2006.0,3.95,504793,555787,38980,20086,36561,100989,190823,207328,0
105,18710190,18710190,15524549,153,9780007524270.0,2013.0,3.63,463257,663226,62536,31626,78366,176061,192785,184388,2
107,3473,3473,3143497,131,9780446693810.0,1999.0,4.15,546948,559581,11071,10640,24094,94327,169650,260870,0
108,9416,9416,3237433,144,9780440241420.0,2000.0,3.61,543658,558004,11170,30705,56949,156636,166927,146787,0
109,24280,24280,3208463,1319,9780451525260.0,1862.0,4.14,513407,560132,12505,15225,25914,87461,167385,264147,0
110,10572,10572,3272005,202,9780553381700.0,1998.0,4.4,523303,606765,20325,1788,7104,56167,221706,320000,0
111,10441,10441,2868431,98,9780143037150.0,2005.0,3.64,501430,510582,18027,19453,47004,145437,183150,115538,0
112,15507958,15507958,17763198,168,9780670026610.0,2012.0,4.27,587647,741133,71412,10346,21880,91517,249474,367916,2
113,168668,168668,814330,251,9780684833390.0,1961.0,3.98,563265,582515,13734,20639,37912,106269,186745,230950,0
114,6900,6900,1995335,172,9780751529810.0,1997.0,4.06,556518,584397,19272,11507,30534,107446,194448,240462,0
115,2187,2187,1352495,125,9780312422160.0,2002.0,3.98,488243,507998,20880,19329,30503,89740,171099,197327,0
116,24583,24583,41326609,2448,9780143039560.0,1876.0,3.89,555359,594226,7165,12130,34349,143659,217896,186192,0
117,18131,18131,948387,165,9780440498060.0,1962.0,4.04,615907,650094,19413,17313,34988,119115,209745,268933,0
118,7763,7763,1955658,126,9780143038090.0,1989.0,3.9,515090,525243,6708,14802,30197,116748,195930,167566,0
119,38447,38447,1119185,236,9780385490820.0,1985.0,4.06,607889,683564,35925,13998,32561,116975,252942,267088,0
120,452306,452306,1058370,93,9780385729340.0,2001.0,3.75,525706,536604,6477,14996,42396,152024,177404,149784,0
122,37442,37442,1479280,80,9780060987110.0,1995.0,3.52,506900,525498,22926,40802,65835,132061,153583,133217,0
123,5358,5358,38270,11,9780582418270.0,1991.0,3.99,488269,488355,3139,5075,20119,111543,190966,160652,0
124,7937843,7937843,9585076,151,9780316098340.0,2010.0,4.03,511360,556327,42254,11020,26079,99831,217995,201402,0
125,1420,1420,1885548,1929,9780521618750.0,1600.0,4.0,515820,576894,8889,10413,32697,121040,192937,219807,0
126,234225,234225,3634639,241,9780340839940.0,1965.0,4.19,485032,525976,13239,13354,22778,74206,154771,260867,0
127,2612,2612,2124255,100,9780316346630.0,2000.0,3.92,490504,499066,10895,15111,25871,106453,189120,162511,0
128,11084145,11084145,16005831,190,9781451648540.0,2011.0,4.09,560715,579256,15198,19680,21986,88456,203975,245159,1
129,332613,332613,2100252,275,9780451163970.0,1962.0,4.18,491642,514458,7855,5672,15978,78714,191622,222472,0
130,2165,2165,69741,666,9780684830490.0,1952.0,3.73,520630,574328,16716,28645,52583,136217,186747,170136,0
131,4395,18114322,2931549,381,9780142000660.0,1939.0,3.92,322321,553352,12991,23552,40261,103475,173589,212475,0
132,3431,3431,2561472,123,9781401308580.0,2003.0,3.9,449501,474699,16682,12360,33669,107800,155830,165040,0
133,8127,8127,3464264,1314,9780451528830.0,1908.0,4.23,502247,533352,14041,8864,19531,80256,158725,265976,0
134,3777732,3777732,3443248,122,9781416914300.0,2009.0,4.34,593173,630560,22736,6646,17351,79202,179290,348071,0
135,62291,62291,1164465,175,9780553573430.0,2000.0,4.54,469022,527644,19497,1456,4820,36418,149268,335682,0
136,137791,137791,1010054,75,9780060759960.0,1996.0,3.79,465676,470508,3867,15795,35314,120396,158451,140552,0
137,10964,10964,2489796,189,9780440242950.0,1991.0,4.2,515547,578842,36707,20998,27673,73126,147085,309960,0
138,12296,12296,4925227,1579,9780142437260.0,1850.0,3.37,509883,559246,11428,34813,80444,182701,165079,96209,2
139,9460487,9460487,14345371,155,9781594744760.0,2011.0,3.89,613674,672222,53569,14920,45434,159227,234792,217849,2
140,6892870,6892870,12883496,193,9780307270000.0,2007.0,4.2,443951,526791,26766,3823,14773,78387,203297,226511,0
141,18007564,18007564,21825181,148,9780804139020.0,2012.0,4.39,423344,529702,61298,4114,10856,49200,173861,291671,1
142,5043,5043,3359698,255,9780451207140.0,1989.0,4.29,462517,495893,26283,9248,16886,57825,148052,263882,0
143,18143977,18143977,25491300,139,9781476746590.0,2014.0,4.31,470001,547827,53413,6209,14527,61020,185239,280832,1
144,8664353,8664353,12946965,16,9781400064170.0,2010.0,4.4,487775,528552,41572,10308,12874,47828,144203,313339,1
145,976,976,3135896,180,9780671027380.0,2001.0,3.67,455610,479733,7798,14380,45006,143182,160819,116346,0
146,17333223,17333223,24065147,108,9780316055440.0,2013.0,3.87,396756,463847,44631,19164,35300,93459,153459,162465,1
147,1217100,29844228,2588213,150,9781595141710.0,2007.0,4.02,463783,571281,43467,15246,35668,105414,179197,235756,1
148,2865,2865,3358875,169,9780452287020.0,1999.0,3.85,467577,492177,8011,11525,28287,123463,189656,139246,0
149,4374400,4374400,4422413,130,9780525421030.0,2009.0,3.96,503527,567087,34959,12666,34896,122977,190793,205755,0
150,4989,4989,1041558,80,9780312353770.0,1997.0,4.16,424981,449217,17234,9470,19616,67878,146178,206075,0
151,28186,28186,43554,121,9780786856860.0,2006.0,4.23,514932,550512,20097,2967,13884,91127,188988,253546,0
152,5526,5526,3222389,111,9780446528050.0,2006.0,4.01,441062,454781,10626,9683,25220,94711,145202,179965,0
153,1582996,1582996,1575860,125,9781416914300.0,2008.0,4.21,541117,586008,23643,6135,20075,92626,192934,274238,0
154,8852,8852,1896522,1732,9780743477110.0,1606.0,3.88,496018,524826,7609,10551,35408,127354,183871,167642,0
155,15241,15241,2963845,453,9780618346260.0,1954.0,4.42,480446,532209,6980,3013,10264,55433,156232,307267,0
156,42156,42156,1789440,65,9780312321180.0,2004.0,3.83,403601,435189,11567,16019,29297,104322,148507,137044,0
157,23772,23772,86934,72,9780394800160.0,1960.0,4.29,457475,461041,7370,6605,14530,66873,121751,251282,0
158,6310,6310,2765786,338,9780142403880.0,1964.0,4.1,453959,494747,8473,6236,17193,94240,178216,198862,0
159,2120932,2120932,2377629,92,9781423101470.0,2008.0,4.39,508214,537708,14098,2435,8093,62108,172289,292783,0
160,2623,2623,2612809,1725,9780192833590.0,1860.0,3.75,459247,507187,12311,22811,44293,120385,170702,148996,0
161,18512,18512,2964424,470,9780345339740.0,1955.0,4.51,463959,510537,6644,2691,8008,42693,132149,324996,0
163,7736182,7736182,10107891,72,9781423113390.0,2010.0,4.35,271576,489495,17107,5020,11267,58590,148498,266120,0
164,15745753,15745753,17225055,103,9781250012580.0,2013.0,4.11,514312,579753,53005,12904,26371,94470,196224,249784,1
165,13497,13497,1019062,176,9780553582020.0,2005.0,4.1,428186,481130,18876,3170,18574,94401,175973,189012,0
166,7735333,7735333,9631645,84,9780525423640.0,2010.0,3.68,511815,530680,30226,24343,53804,138030,165412,149091,0
167,4407,30165203,1970226,196,9780747263750.0,2001.0,4.11,378019,518343,27587,9888,24944,83253,178346,221912,1
168,149267,149267,1742269,195,9780385199580.0,1978.0,4.34,438832,469953,13808,5647,13612,56722,134098,259874,0
169,6400090,6400090,6588800,95,9780446547570.0,2008.0,4.14,424637,438429,11051,7253,17803,77712,140241,195420,0
170,11125,11125,40195,185,9780552151700.0,1998.0,3.6,423019,447503,7538,16592,47507,136196,144029,103179,0
171,6969,6969,3360164,1710,9780141439590.0,1815.0,3.99,459826,497949,11724,11386,25777,102144,178238,180404,0
172,15823480,15823480,2507928,1492,9780345803920.0,1877.0,4.02,297472,472796,18064,11738,26945,88365,158179,187569,0
173,227463,227463,23596,283,9780393312840.0,1962.0,3.98,431195,454391,9958,14741,24244,84863,163488,167055,0
174,1812457,1812457,2666268,134,9780964729230.0,2007.0,3.74,419539,438292,29377,35734,42977,84751,111923,162907,0
175,4502507,4556058,4551489,87,9780739380340.0,2009.0,4.5,397500,499510,17693,2098,6501,45208,133168,312535,0
176,18342,830502,150259,7,9780451169520.0,1986.0,4.18,292592,479381,11698,8464,19610,75841,148672,226794,0
177,7144,7144,3393917,1714,9780143058140.0,1866.0,4.18,380903,444675,12605,9477,20078,64050,137104,213966,0
178,6514,6514,1385044,246,9780061148510.0,1963.0,3.98,401605,442157,15963,8266,23983,92408,162216,155284,0
179,252577,252577,2883783,184,9780007205230.0,1996.0,4.07,392103,419746,9798,7657,18327,73550,155775,164437,0
180,52036,52036,4840290,972,9780553208850.0,1922.0,3.99,372099,418653,11518,10229,25529,83698,138837,160360,0
181,168642,168642,1940709,223,9780679745590.0,1965.0,4.05,381652,401839,11754,10639,17836,70857,144616,157891,0
182,6304335,6304335,6488966,119,9780316042670.0,2009.0,3.76,436093,458518,20808,19917,43525,113352,132492,149232,0
183,7171637,7171637,6674837,103,9781416975860.0,2010.0,4.33,490890,515759,24385,8364,15544,61409,140928,289514,0
184,39988,39988,1015554,242,9780141301070.0,1988.0,4.29,440743,463491,11053,4277,10823,64536,152003,231852,0
185,9361589,9361589,14245059,119,9780385534640.0,2011.0,4.03,429543,474826,54008,11349,28650,84254,159596,190977,1
186,37470,37470,3248536,111,9780743227440.0,2001.0,4.04,381080,399223,15846,5311,16716,78620,153807,144769,0
187,24770,24770,2895388,98,9780689865380.0,2005.0,3.86,449073,464589,21234,15531,34808,106086,151540,156624,0
189,33,33,3462456,380,9780618640160.0,1955.0,4.47,389054,436346,9365,4807,9577,37552,106818,277592,0
190,12262741,12262741,17237712,101,9780307592740.0,2012.0,3.96,379872,420903,34444,8344,22137,85489,165482,139451,1
191,472331,472331,4358649,90,9780930289230.0,1987.0,4.35,398018,409323,10851,6349,11732,44847,116877,229518,0
192,186074,186074,2502879,123,9780756404080.0,2007.0,4.55,400101,449372,28631,5605,8582,28480,95470,311235,0
193,3228917,3228917,3364437,120,9780316017920.0,2008.0,4.11,353011,369126,19383,4494,12545,62510,148978,140599,0
194,153747,153747,2409320,1823,9780142437250.0,1851.0,3.46,358050,397963,11223,35983,52601,103625,102432,103322,0
195,2728527,2728527,2754161,116,9780385340990.0,2008.0,4.12,393626,423672,39853,7190,17250,68942,155107,175183,0
196,5759,5759,68729,162,9780393327340.0,1996.0,4.2,365349,388654,11176,4578,12632,58110,139554,173780,0
197,301082,301082,479517,109,9780441008540.0,2001.0,3.96,420764,444824,16818,11330,25781,96290,148326,163097,0
198,11486,11486,3300573,155,9780671727800.0,1982.0,4.17,376766,400965,9485,6298,14477,62380,140835,176975,0
199,12691,12691,14961,119,9780739461200.0,2005.0,4.12,367304,379348,13407,5485,14940,68532,131536,158855,0
200,16299,16299,3038872,474,9780312330870.0,1939.0,4.23,408983,456680,17264,6134,12476,66243,156306,215521,0
201,6411961,6411961,6600281,208,9780385504220.0,2009.0,3.66,369428,404982,24199,11293,40545,120122,136545,96477,0
202,6339664,6339664,6525609,91,9781416989420.0,2009.0,4.0,448166,461802,21871,19338,33543,82544,120204,206173,0
204,5326,5326,3097440,2380,9781561797460.0,1843.0,4.02,394540,441396,11568,6737,21415,93906,153823,165515,0
205,43763,43763,873132,189,9780345476880.0,1976.0,3.97,372566,393941,7951,7519,22377,84804,137659,141582,0
206,10507293,10507293,15413183,93,9780062059930.0,2012.0,4.15,505340,539091,35681,13841,25349,83692,158716,257493,1
207,6853,6853,1486401,109,9780312362090.0,1994.0,4.03,391007,403315,13050,9176,19657,80319,133454,160709,0
208,6493208,6493208,6684634,66,9781400052170.0,2010.0,4.04,377249,404440,28624,10782,18237,70339,151226,153856,0
209,23807,23807,22533,187,9780099446780.0,1988.0,4.14,351107,366112,3866,10268,12845,55427,123652,163920,0
210,345627,345627,335933,132,9781595141740.0,2007.0,4.14,248283,455151,19720,12535,22043,73357,129382,217834,0
211,40102,40102,1180927,116,9780316010660.0,2005.0,3.89,348196,360338,12215,6804,20128,85934,139947,107525,0
212,6867,6867,2307233,155,9780385721790.0,2001.0,3.88,347006,365658,14815,11473,25462,77135,134788,116800,0
213,485894,485894,2373750,1316,9780553213690.0,1915.0,3.78,364933,414533,10252,15430,33226,98774,146297,120806,0
214,561456,561456,2936530,94,9780141382890.0,2007.0,4.33,446668,486262,15418,1863,7934,65220,162371,248874,0
215,9969571,9969571,14863741,112,9780307887440.0,2011.0,4.31,349423,421819,52120,5150,12928,48285,134107,221349,1
216,3153910,3153910,3175590,90,9781554681720.0,2006.0,4.19,327409,354319,32021,4808,13901,53780,118166,163664,0
217,21996,21996,3486041,70,9780739303400.0,2003.0,3.98,309385,350607,25846,6687,18709,69012,135360,120839,0
218,13572249,20448515,18973111,96,9780425263910.0,2012.0,4.19,222678,386136,16748,9867,18983,55554,104657,197075,1
219,11127,11127,781271,270,9780066238500.0,1956.0,4.24,376385,401676,8871,3772,12192,59975,133056,192681,0
221,60748,60748,59104,74,9781558743660.0,1995.0,4.08,311543,321298,13729,7819,16453,57341,98786,140899,0
222,7869,7869,859111,143,9780752864330.0,1980.0,3.98,327122,336212,3899,10266,17695,65161,118463,124627,0
223,249747,249747,1334778,163,9780786817870.0,2001.0,3.82,386923,399165,8384,14473,30894,94950,129607,129241,0
224,6487308,6487308,6678670,97,9780385738930.0,2009.0,3.74,395296,408108,17725,23594,41578,94145,107149,141642,0
225,4406,4406,2574991,81,9780142000660.0,1952.0,4.35,320919,336682,14454,4183,9409,39153,96741,187196,0
226,5886881,5886881,6873353,131,9780307341560.0,2009.0,3.92,333452,386607,28784,5169,17975,89242,165108,109113,0
227,5359,5359,137715,134,9780385339090.0,1993.0,3.97,320083,325663,1917,2530,12566,79176,129019,102372,0
228,228333,228333,221139,84,9780312291630.0,2002.0,3.4,323762,328073,5121,17006,43014,116021,95951,56081,0
229,24213,24213,2375385,845,9780451527740.0,1865.0,4.06,340920,377190,7736,5294,17482,76985,127906,149523,0
230,2156,2156,2534720,1451,9780192802640.0,1817.0,4.13,365425,402359,13117,6688,15653,71218,133222,175578,0
231,556602,556602,2523229,117,9780312370830.0,2007.0,4.14,312444,347631,26614,3865,12684,55760,134748,140574,0
232,43615,43615,46575,213,9780452284690.0,1982.0,3.99,332494,366377,13014,9958,24111,72736,112895,146677,0
233,9712,9712,3285349,347,9781400034680.0,1985.0,3.89,283806,323461,15246,11450,23825,65668,110544,111974,0
234,439288,439288,118521,87,9780141310890.0,1999.0,4.0,360156,372404,18379,7770,21049,76503,125660,141422,0
235,17802724,17802724,23986788,95,9780399159340.0,2013.0,3.92,232106,351805,27610,4175,15649,80869,155945,95167,1
236,1898,1898,1816662,101,9780385494790.0,1997.0,4.11,291258,301593,10439,8041,10286,46060,112601,124605,0
237,10592,10592,1552134,249,9781416524300.0,1974.0,3.93,356814,377650,8264,4564,19479,96352,136054,121201,0
238,242006,242006,828773,79,9780312422270.0,2002.0,3.7,293878,306388,11601,13569,27249,78405,105786,81379,0
239,8908,8908,817,137,9780307346600.0,2006.0,4.01,312969,345149,22412,7680,19887,65570,121537,130475,0
240,17212231,17212231,23841765,235,9780385537860.0,2013.0,3.8,287533,345560,33700,7261,26077,89237,128374,94611,1
241,47281,47281,2677305,81,9780440227530.0,1989.0,4.11,333638,342365,10304,3797,12794,63919,123296,138559,0
242,13145,13145,3373984,122,9780446692630.0,1993.0,4.08,311499,318031,3600,4281,10929,61630,118236,122955,0
243,10614,10614,3230869,197,9780450417400.0,1987.0,4.11,334647,352203,6416,4302,12725,64835,128990,141351,0
244,66559,18045891,3801,136,9780307341550.0,2006.0,3.92,207889,354838,28268,4988,17566,81036,147558,103690,0
